發生日期,慰撫金金額,請求慰撫金金額,鑑定會給予被告責任,被告責任較重,被告責任同等,被告責任較輕,鑑定會給予原告責任,原被告差距,被告職業駕駛
2016/1/7,4000000.00 ,1500000.00 ,2,1,0,0,4,99,1
2016/1/7,3000000.00 ,1500000.00 ,2,1,0,0,4,99,1
2016/1/7,3000000.00 ,1500000.00 ,2,1,0,0,4,99,1
2016/2/27,2000000.00 ,3988835.00 ,99,0,0,0,99,-2,1
2016/2/27,2000000.00 ,4015633.00 ,99,0,0,0,99,-2,1
2016/3/30,1000000.00 ,1500000.00 ,99,0,0,0,99,99,1
2016/3/30,1000000.00 ,1500000.00 ,99,0,0,0,99,99,1
2016/3/30,1000000.00 ,1500000.00 ,99,0,0,0,99,99,1
2016/3/30,1000000.00 ,1500000.00 ,99,0,0,0,99,99,1
2016/4/9,1200000.00 ,2000000.00 ,99,0,0,0,99,0,0
2016/4/9,1200000.00 ,2000000.00 ,99,0,0,0,99,0,0
2016/4/9,1200000.00 ,2000000.00 ,99,0,0,0,99,0,0
2016/4/9,1200000.00 ,2000000.00 ,99,0,0,0,99,0,0
2016/11/2,1500000.00 ,500000.00 ,2,1,0,0,4,99,0
2016/11/2,1500000.00 ,500000.00 ,2,1,0,0,4,99,0
2016/12/3,3000000.00 ,4500000.00 ,3,0,1,0,3,-1,1
2016/12/3,3000000.00 ,4500000.00 ,3,0,1,0,3,-1,1
2016/12/17,5000000.00 ,6500000.00 ,1,1,0,0,5,99,0
2016/12/26,800000.00 ,1000000.00 ,3,0,1,0,3,-2,0
2016/12/26,800000.00 ,1000000.00 ,3,0,1,0,3,-2,0
2016/12/26,800000.00 ,1000000.00 ,3,0,1,0,3,-2,0
2016/12/26,800000.00 ,1000000.00 ,3,0,1,0,3,-2,0
2017/3/12,2000000.00 ,3500000.00 ,5,0,0,1,1,-2,1
2017/3/12,2000000.00 ,3500000.00 ,5,0,0,1,1,-2,1
2017/3/23,1200000.00 ,1200000.00 ,99,0,0,0,99,99,0
2017/3/23,1200000.00 ,1200000.00 ,99,0,0,0,99,99,0
2017/5/5,1000000.00 ,2000000.00 ,99,0,0,0,99,-2,0
2017/5/5,1000000.00 ,2000000.00 ,99,0,0,0,99,-1,0
2017/5/5,1000000.00 ,2000000.00 ,99,0,0,0,99,-1,0
2017/5/5,1000000.00 ,2000000.00 ,99,0,0,0,99,-1,0
2017/6/8,2000000.00 ,2500000.00 ,3,0,1,0,3,-1,0
2017/6/8,1500000.00 ,2000000.00 ,3,0,1,0,3,-1,0
2017/6/8,1500000.00 ,2000000.00 ,3,0,1,0,3,-1,0
2017/7/18,1000000.00 ,1060762.00 ,99,0,0,0,99,-2,0
2017/7/18,1000000.00 ,1000000.00 ,99,0,0,0,99,-2,0
2017/7/18,1000000.00 ,1000000.00 ,99,0,0,0,99,-2,0
2017/7/31,1800000.00 ,3000000.00 ,99,0,0,0,99,-1,0
2017/7/31,1800000.00 ,3000000.00 ,99,0,0,0,99,-1,0
2017/11/3,1500000.00 ,2000000.00 ,99,0,0,0,99,0,0
2017/11/3,1000000.00 ,1600000.00 ,99,0,0,0,99,0,0
2017/11/3,1000000.00 ,1600000.00 ,99,0,0,0,99,0,0
2018/2/13,2000000.00 ,2000000.00 ,99,0,0,0,99,99,0
2018/2/13,2000000.00 ,2000000.00 ,99,0,0,0,99,99,0
2018/2/13,2000000.00 ,2000000.00 ,99,0,0,0,99,99,0
2018/2/19,1500000.00 ,2500000.00 ,99,0,0,0,99,0,1
2018/2/19,1500000.00 ,2500000.00 ,99,0,0,0,99,0,1
2018/3/1,1000000.00 ,1000000.00 ,99,0,0,0,99,-1,0
2018/3/1,1000000.00 ,1000000.00 ,99,0,0,0,99,-1,0
2018/3/1,1000000.00 ,1000000.00 ,99,0,0,0,99,-1,0
2018/3/1,1000000.00 ,1000000.00 ,99,0,0,0,99,-1,0
2018/3/1,1000000.00 ,1000000.00 ,99,0,0,0,99,-1,0
2018/5/17,1500000.00 ,2000000.00 ,2,1,0,0,5,0,0
2018/5/17,1500000.00 ,2000000.00 ,2,1,0,0,5,0,0
2018/5/17,1500000.00 ,1600000.00 ,2,1,0,0,5,0,0
2018/5/17,1500000.00 ,1800000.00 ,2,1,0,0,5,0,0
2018/6/10,3000000.00 ,1000000.00 ,3,0,1,0,3,0,0
2018/6/10,2000000.00 ,800000.00 ,3,0,1,0,3,0,0
2018/6/10,2000000.00 ,800000.00 ,3,0,1,0,3,0,0
2018/6/29,1200000.00 ,1200000.00 ,4,0,0,1,2,0,0
2018/6/29,1200000.00 ,1200000.00 ,4,0,0,1,2,0,0
2018/6/29,1200000.00 ,1200000.00 ,4,0,0,1,2,0,0
2018/6/29,1200000.00 ,1200000.00 ,4,0,0,1,2,0,0
2018/6/29,1200000.00 ,1200000.00 ,4,0,0,1,2,0,0
2018/6/29,1200000.00 ,1200000.00 ,4,0,0,1,2,0,0
2018/7/26,800000.00 ,800000.00 ,99,0,0,0,99,99,0
2018/9/12,2000000.00 ,1500000.00 ,4,0,0,1,2,99,1
2018/9/12,2000000.00 ,1000000.00 ,4,0,0,1,2,99,1
2018/9/12,2000000.00 ,1000000.00 ,4,0,0,1,2,99,1
2018/9/12,2000000.00 ,1000000.00 ,4,0,0,1,2,99,1
2018/9/12,2000000.00 ,1000000.00 ,4,0,0,1,2,99,1
2018/9/17,1200000.00 ,5000000.00 ,2,1,0,0,4,0,0
2018/9/25,3500000.00 ,2000000.00 ,1,1,0,0,5,99,0
2018/9/25,2500000.00 ,2000000.00 ,1,1,0,0,5,99,0
2018/10/26,700000.00 ,700000.00 ,99,0,0,0,99,0,0
2018/10/26,600000.00 ,600000.00 ,99,0,0,0,99,0,0
2018/10/26,600000.00 ,600000.00 ,99,0,0,0,99,0,0
2018/10/26,600000.00 ,600000.00 ,99,0,0,0,99,0,0
2018/11/6,1000000.00 ,500000.00 ,3,0,1,0,3,99,0
2018/11/6,1000000.00 ,500000.00 ,3,0,1,0,3,99,0
2018/11/6,1000000.00 ,500000.00 ,3,0,1,0,3,99,0
2018/11/6,1000000.00 ,500000.00 ,3,0,1,0,3,99,0
2018/11/6,1000000.00 ,500000.00 ,3,0,1,0,3,99,0
2018/11/6,1000000.00 ,500000.00 ,3,0,1,0,3,99,0
2018/11/25,600000.00 ,1000000.00 ,2,1,0,0,4,2,0
2018/11/25,468000.00 ,780000.00 ,2,1,0,0,4,2,0
2018/11/25,600000.00 ,1000000.00 ,2,1,0,0,4,2,0
2018/11/25,5000000.00 ,2500000.00 ,3,0,1,0,3,99,1
2018/11/25,5000000.00 ,2500000.00 ,3,0,1,0,3,99,1
2018/12/6,800000.00 ,1500000.00 ,99,0,0,0,99,0,1
2018/12/6,500000.00 ,1000000.00 ,99,0,0,0,99,0,1
2018/12/6,500000.00 ,1000000.00 ,99,0,0,0,99,0,1
2018/12/6,500000.00 ,1000000.00 ,99,0,0,0,99,0,1
2018/12/6,500000.00 ,1000000.00 ,99,0,0,0,99,0,1
2019/1/17,1500000.00 ,1200000.00 ,4,0,0,1,2,-3,0
2019/1/17,1500000.00 ,1200000.00 ,4,0,0,1,2,-3,0
2019/2/17,3288777.00 ,2000000.00 ,1,1,0,0,5,99,0
2019/3/2,2000000.00 ,1000000.00 ,4,0,0,1,2,99,0
2019/3/2,2000000.00 ,1000000.00 ,4,0,0,1,2,99,0
2019/4/19,3000000.00 ,1500000.00 ,3,0,1,0,3,0,1
2019/4/19,3000000.00 ,2000000.00 ,3,0,1,0,3,0,1
2019/4/19,5000000.00 ,2500000.00 ,3,0,1,0,3,0,1
2019/4/19,5000000.00 ,2500000.00 ,3,0,1,0,3,0,1
2019/6/23,2000000.00 ,1000000.00 ,1,1,0,0,5,-3,0
2019/6/23,2000000.00 ,800000.00 ,1,1,0,0,5,-3,0
2019/6/23,2000000.00 ,800000.00 ,1,1,0,0,5,-3,0
2019/6/23,2000000.00 ,800000.00 ,1,1,0,0,5,-3,0
2019/6/23,2000000.00 ,800000.00 ,1,1,0,0,5,-3,0
2019/8/1,1000000.00 ,1000000.00 ,2,1,0,0,4,99,0
2019/8/1,1514500.00 ,1500000.00 ,2,1,0,0,4,99,0
2019/8/1,1000000.00 ,1000000.00 ,2,1,0,0,4,99,0
2019/10/31,3000000.00 ,3000000.00 ,4,0,0,1,2,99,0
2019/11/15,3500000.00 ,2500000.00 ,2,1,0,0,4,99,0
2019/11/15,3500000.00 ,2500000.00 ,2,1,0,0,4,99,0
2020/2/26,4000000.00 ,2000000.00 ,3,0,1,0,3,99,0
2020/2/26,4000000.00 ,2000000.00 ,3,0,1,0,3,99,0
2020/4/18,1500000.00 ,1500000.00 ,2,1,0,0,4,99,0
2020/4/18,1500000.00 ,1500000.00 ,2,1,0,0,4,99,0
2020/5/8,3500000.00 ,2000000.00 ,4,0,0,1,2,99,0
2020/5/8,3200000.00 ,2000000.00 ,4,0,0,1,2,99,0
2020/7/17,1200000.00 ,1200000.00 ,1,1,0,0,5,99,1
2020/7/17,1200000.00 ,1200000.00 ,1,1,0,0,5,99,1
2020/7/17,1200000.00 ,1200000.00 ,1,1,0,0,5,99,1
2020/8/27,1250000.00 ,600000.00 ,1,1,0,0,5,99,0
2020/8/27,1250000.00 ,600000.00 ,1,1,0,0,5,99,0
2020/8/27,1250000.00 ,600000.00 ,1,1,0,0,5,99,0
2020/8/27,1250000.00 ,600000.00 ,1,1,0,0,5,99,0
2020/10/5,2500000.00 ,1000000.00 ,1,1,0,0,5,99,1
2020/10/5,2500000.00 ,1000000.00 ,1,1,0,0,5,99,1
2020/10/5,2500000.00 ,1000000.00 ,1,1,0,0,5,99,1
2020/10/5,2500000.00 ,1000000.00 ,1,1,0,0,5,99,1
2021/1/1,2000000.00 ,1600000.00 ,4,0,0,1,2,99,0
2021/1/1,2000000.00 ,1600000.00 ,4,0,0,1,2,99,0
2021/1/1,2000000.00 ,1600000.00 ,4,0,0,1,2,99,0
2021/1/1,2000000.00 ,1600000.00 ,4,0,0,1,2,99,0
